Solution,Hayden Flood Elev,Carson Flood Elev,Carson Cons Elev,Max Channel Flow,Irrig Allocation,Hayden1870,CityFlow1500,TimeCarsonSpill,MaxHaydenPE,AppleValleyVolRelNeg,BorderVolRelNeg
12,1864,2160.25,2160,1500,1,0.1,0.03,0.05,1904.47,-0.96,-0.82
7,1869,2160.25,2160,1800,1,0.11,0.03,0.05,1904.47,-0.94,-0.83
1,1899,2160.25,2139,1100,1,0.14,0.03,0.05,1904.5,-0.89,-0.91
2,1899,2160,2136,1100,0.95,0.14,0.03,0.05,1904.5,-0.85,-0.92
9,1899,2160,2136,1050,0.7,0.12,0.03,0.05,1904.53,-0.63,-0.92
10,1899,2160.25,2139,1100,0.9,0.13,0.03,0.05,1904.5,-0.8,-0.92
6,1852,2160,2132,1650,0.45,0.11,0.03,0.05,1904.55,-0.41,-0.93
11,1899,2160.25,2139,1050,0.65,0.12,0.03,0.05,1904.54,-0.58,-0.93
3,1850,2160,2149,1550,0.15,0.09,0.03,0.05,1904.59,-0.14,-0.94
4,1850,2160,2127,1700,0.3,0.1,0.03,0.05,1904.57,-0.28,-0.94
5,1850,2160,2158,1600,0.4,0.11,0.03,0.05,1904.55,-0.36,-0.94
8,1850,2160,2136,1700,0.1,0.09,0.03,0.05,1904.59,-0.09,-0.95
