Solution,Cedar Div Min Elev,Dogwood Div Min Elev,Hickory Elev Min to Irrig,Cedar Elev Limits Row 0,Cedar Elev Limits Row 1
1,238.0,171.0,134.0,200.5,208.5
2,227.0,172.0,133.0,218.0,223.5
3,241.0,171.0,136.0,209.5,223.0
4,232.5,172.0,135.5,203.0,210.0
5,232.5,171.0,135.5,203.0,210.0
6,227.5,171.5,136.0,205.0,213.0
7,242.0,171.5,137.0,206.5,209.5
8,242.0,171.0,135.5,209.5,224.0
9,241.5,171.0,136.0,210.0,224.0
10,233.0,171.0,135.5,203.0,210.0
11,240.0,171.0,135.5,208.5,220.5
12,238.5,171.0,133.5,201.0,224.0
13,240.5,171.0,135.5,208.5,221.5
14,241.5,171.5,136.0,210.0,224.0
15,232.0,171.0,135.5,204.0,209.5
16,239.0,171.0,136.0,206.5,220.5
17,234.5,172.0,136.0,200.5,201.5
18,227.0,171.0,138.0,209.5,210.0
19,230.0,171.0,137.5,212.0,214.5
20,224.5,171.5,137.0,205.0,207.5
21,238.0,171.5,136.0,208.0,215.5
22,234.0,172.0,136.5,200.0,213.0
23,234.0,171.5,136.0,201.0,208.5
24,237.0,172.0,135.0,203.0,209.0
25,232.0,171.5,136.0,207.0,213.5
26,226.5,171.0,134.0,200.0,213.0
27,231.0,171.5,136.0,210.0,224.0
28,238.0,172.0,136.0,200.5,202.0
29,228.0,171.5,137.0,203.5,205.5
30,235.5,172.0,137.0,203.5,209.5
31,236.5,172.0,134.5,201.5,212.5
32,236.0,172.0,134.5,202.0,212.5
33,227.5,171.0,138.0,209.0,210.0
34,231.0,171.0,136.0,201.0,202.0
35,231.0,171.0,137.5,212.0,214.5
36,240.5,171.5,135.5,211.5,218.0
37,242.0,172.0,136.0,205.0,214.0
38,234.5,171.0,136.0,200.5,201.5
39,231.0,172.0,136.0,200.5,202.5
40,235.0,171.0,139.5,207.0,207.5
41,230.0,171.5,135.0,202.0,208.5
42,236.5,171.0,137.5,201.0,202.5
43,234.5,171.5,137.0,213.5,221.0
44,229.5,171.0,138.0,213.5,216.5
45,239.5,171.5,135.5,208.0,216.0
46,230.5,171.0,137.5,203.5,212.5
47,231.0,171.5,138.5,206.5,211.0
48,239.0,171.5,135.5,200.0,200.5
49,228.5,171.0,137.5,212.0,215.5
50,240.0,171.5,137.0,208.0,215.5
51,229.5,172.0,136.0,201.5,201.5
52,220.0,171.0,136.0,215.0,223.0
53,233.0,172.0,135.5,203.0,210.0
54,237.5,171.5,133.5,202.0,208.5
55,236.0,171.5,136.0,207.5,213.5
56,229.0,172.0,134.0,200.0,204.0
57,230.0,172.0,135.0,208.5,241.0
58,238.5,171.5,137.0,204.5,205.5
59,237.5,172.0,133.5,204.5,208.5
60,237.5,171.0,137.0,221.5,226.5
61,220.0,172.0,136.0,215.0,223.0
62,228.0,172.0,137.0,203.5,205.5
63,230.0,172.0,138.5,208.5,241.0
64,241.5,172.0,136.0,210.0,224.0
65,232.5,171.5,134.5,201.5,212.5
66,230.5,172.0,137.5,202.5,208.0
67,229.0,171.5,134.0,200.0,204.0
68,238.5,172.0,136.0,200.5,201.5
69,237.5,171.0,140.0,207.5,209.0
70,233.0,171.5,135.5,203.0,210.0
71,220.0,171.5,136.0,215.0,223.0
72,235.0,172.0,139.5,207.0,207.5
73,227.0,171.5,133.0,218.0,223.5
74,226.5,171.5,134.0,200.0,234.5
75,238.5,171.0,139.5,201.0,224.0
76,228.0,171.0,137.0,204.5,207.5
