Solution,Energy (Negated),Spill,West Basin Irrig (Negated),East Basin Irrig (Negated),Total Depletion Shortage
1,-12599976.2,2701.68,-5713.14,-1736.25,2320.96
2,-12553526.33,2495.27,-5603.82,-2488.56,1413.78
3,-12658032.1,2882.24,-6024.25,-950.04,3149.42
4,-12582221.57,2495.27,-5603.82,-2289.21,1740.67
5,-12555124.72,2495.27,-5713.14,-2289.21,1631.35
6,-12542584.28,2495.27,-5658.91,-2468.57,1397.63
7,-12682682.75,2982.57,-5964.26,-778.08,3451.74
8,-12670490.67,2982.57,-6024.25,-778.08,3391.75
9,-12662210.75,2901.06,-6024.25,-894.0499999999998,3224.9
10,-12557154.52,2495.27,-5713.14,-2271.57,1657.33
11,-12638719.13,2813.38,-6024.25,-1143.37,2877.91
12,-12612752.38,2735.7,-5729.87,-1595.0,2501.42
13,-12650321.08,2846.86,-6024.25,-1025.82,3040.96
14,-12674402.75,2901.06,-5964.26,-894.0499999999998,3284.89
15,-12553911.85,2495.27,-5713.14,-2296.51,1618.33
16,-12616673.25,2763.62,-5877.38,-1433.96,2584.68
17,-12595439.24,2580.08,-5603.82,-2110.64,1946.73
18,-12523118.04,2495.27,-5713.14,-2501.58,1291.62
19,-12544100.71,2495.27,-5713.14,-2349.92,1518.32
20,-12528979.77,2495.27,-5658.91,-2543.16,1279.13
21,-12612826.26,2701.68,-5658.91,-1736.25,2375.18
22,-12590075.86,2544.99,-5603.82,-2194.42,1848.93
23,-12576721.9,2544.99,-5658.91,-2198.9,1795.02
24,-12611196.44,2645.51,-5603.82,-1907.26,2200.61
25,-12566896.75,2495.27,-5658.91,-2297.61,1671.11
26,-12518270.25,2495.27,-5713.14,-2512.66,1267.73
27,-12564690.77,2495.27,-5658.91,-2312.71,1644.98
28,-12626472.71,2701.68,-5603.82,-1736.25,2430.28
29,-12545723.75,2495.27,-5658.91,-2449.42,1429.64
30,-12600678.19,2606.27,-5603.82,-2035.94,2035.89
31,-12607371.65,2623.02,-5603.82,-1968.67,2130.17
32,-12604151.21,2614.64,-5603.82,-2000.53,2086.6
33,-12527675.37,2495.27,-5713.14,-2467.17,1338.63
34,-12551444.71,2495.27,-5713.14,-2312.71,1590.76
35,-12550029.41,2495.27,-5713.14,-2304.06,1586.78
36,-12662513.07,2846.86,-5964.26,-1025.82,3100.95
37,-12695034.04,2982.57,-5909.17,-778.08,3506.83
38,-12568541.79,2580.08,-5713.14,-2110.64,1837.41
39,-12578638.14,2495.27,-5603.82,-2312.71,1700.08
40,-12571679.39,2593.78,-5713.14,-2074.01,1878.35
41,-12558677.6,2495.27,-5658.91,-2352.8,1579.28
42,-12580664.75,2623.02,-5713.14,-1971.35,2018.3
43,-12581593.86,2580.08,-5658.91,-2114.36,1888.1
44,-12540072.71,2495.27,-5713.14,-2374.43,1475.93
45,-12641157.81,2790.97,-5964.26,-1240.11,2797.07
46,-12546965.96,2495.27,-5713.14,-2325.59,1552.52
47,-12561943.81,2495.27,-5658.91,-2294.67,1638.56
48,-12628703.55,2763.62,-5823.16,-1433.96,2638.9
49,-12534376.37,2495.27,-5713.14,-2422.83,1408.4
50,-12650911.25,2813.38,-5964.26,-1143.37,2937.9
51,-12569155.74,2495.27,-5603.82,-2382.08,1590.17
52,-12512313.1,2495.27,-5713.14,-2540.56,1227.38
53,-12584165.62,2495.27,-5603.82,-2271.57,1766.65
54,-12604543.58,2677.85,-5658.91,-1826.34,2254.46
55,-12590387.57,2614.64,-5658.91,-2004.3,2027.93
56,-12566217.26,2495.27,-5603.82,-2397.38,1561.82
57,-12572725.08,2495.27,-5603.82,-2352.8,1634.37
58,-12625408.04,2735.7,-5675.64,-1596.21,2554.5
59,-12618229.6,2677.85,-5603.82,-1826.34,2309.55
60,-12591649.09,2677.85,-5713.14,-1828.78,2197.92
61,-12546365.99,2495.27,-5603.82,-2540.56,1336.69
62,-12560197.33,2495.27,-5603.82,-2449.42,1484.74
63,-12570575.74,2495.27,-5603.82,-2343.13,1625.27
64,-12686754.12,2901.06,-5909.17,-894.0499999999998,3339.98
65,-12568321.58,2495.27,-5658.91,-2286.21,1688.42
66,-12574265.07,2495.27,-5603.82,-2325.59,1661.84
67,-12551981.9,2495.27,-5658.91,-2397.38,1506.72
68,-12638924.6,2735.7,-5620.55,-1596.2,2609.59
69,-12593640.62,2677.85,-5713.14,-1816.39,2195.47
70,-12570309.35,2495.27,-5658.91,-2271.57,1711.55
71,-12529002.45,2495.27,-5658.91,-2540.56,1281.6
72,-12598542.46,2593.78,-5603.82,-2074.01,1987.67
73,-12538586.79,2495.27,-5658.91,-2488.56,1358.68
74,-12534492.98,2495.27,-5658.91,-2512.66,1321.95
75,-12612963.83,2735.7,-5729.87,-1588.63,2499.73
76,-12531775.69,2495.27,-5713.14,-2449.42,1375.42
